Elapsed (s),Time,nGen-400 Uptime,nGen-400 Hours,Anode PWM_Duty_Cycle,Anode Voltage,Anode Current,Getter PWM_Duty_Cycle,Getter Current,Neutron Counts,Neutron Count_Rate,Neutron Count_Rate_Avg,Neutron Count_Rate_Stdev_Pct,RF Freq_Synth,Suppressor Current,Suppressor Voltage,Pulsing Rep_Rate,Pulsing Duty_Cycle,Pulsing Ext_Trig_Select,Calculations Current_Ratio,Faults Anode_Voltage_Too_High,Faults Arc_dI_dt,Faults Arc_I,Faults Blinkout,Faults E_Beam_Power_Too_High,Faults Interlock,Faults Suppressor_Voltage_Too_Low,State_Machine State,State_Machine Source,State_Machine Destination,State_Machine Fault
0.0,17-Jul-26 13:01:57,118.9,166.6,0,1.051,0.04354,0,0.003626,0,0,0,100,15.05,0.001822,0,1,1,0,0,1,0,1,-1,1,0,4,2.25,2,4,[ OK ]
1.4,17-Jul-26 13:01:59,120.3,166.6,0,1.576,0.04146,0.2786,0.3609,0,0,0,100,15.05,0.002125,0,1,1,0,0,1,0,1,-1,1,0,4,3,2,4,[ OK ]
2.9,17-Jul-26 13:02:00,121.8,166.6,0,1.48,0.04493,0.3735,0.8827,0,0,0,100,15.05,0.001923,0.05076,1,1,0,0,1,0,1,-1,1,0,4,3,3,4,[ OK ]
4.5,17-Jul-26 13:02:02,123.3,166.6,0,0.9232,0.04295,0.4362,1.22,0,0,0,100,15.05,0.001619,0.09517,1,1,0,0,1,0,1,-1,1,0,4,3.105,3,4,[ OK ]
5.9,17-Jul-26 13:02:03,124.8,166.6,0,0.9869,0.04265,0.4724,1.417,0,0,0,100,15.05,0.16,404.2,1,1,0,0,1,0,1,-1,1,3,1,3.211,3,4,Interlock
7.3,17-Jul-26 13:02:05,126.3,166.6,0,1.433,0.04136,0.4948,1.53,0,0,0,100,15.05,0.1604,404.1,1,1,0,0,1,0,1,-1,1,0,1,4,4,1,Interlock
8.7,17-Jul-26 13:02:06,127.6,166.6,0,0.3661,0.04285,0.5081,1.598,0,0,0,100,15.05,0.1607,404.1,1,1,0,0,1,0,1,-1,1,0,1,3.75,4,1,Interlock
10.3,17-Jul-26 13:02:08,129.2,166.6,0,1.003,0.04215,0.5178,1.65,0,0,0,100,15.05,0.1604,404.2,1,1,0,0,1,0,1,-1,1,0,1,3.5,4,1,Interlock
12.0,17-Jul-26 13:02:09,130.8,166.6,0,0.8755,0.04166,0.5247,1.675,0,0,0,100,15.05,0.002159,7.607,1,0,0,0,1,0,1,-1,1,0,2.671,3,4,1,Interlock
13.6,17-Jul-26 13:02:11,132.5,166.6,0,1.385,0.03908,0,0.001813,0,0,0,100,15.05,0.002058,0.06345,1,0,0,0,1,0,1,-1,1,0,3,2,3,1,Interlock
265.6,17-Jul-26 13:06:23,384.5,166.6,0,1.114,0.04503,0,0.004331,0,0,0,100,15.05,0.001012,0,2.122E-314,0,0,0,1,0,1,-1,1,0,4,2.25,2,4,[ OK ]
266.9,17-Jul-26 13:06:24,385.8,166.6,0,0.971,0.04186,0.2387,0.1463,0,0,0,100,15.05,0.002665,0,2.122E-314,0,0,0,1,0,1,-1,1,0,4,3,2,4,[ OK ]
268.4,17-Jul-26 13:06:26,387.3,166.6,0,1.019,0.04176,0.3507,0.7476,0,0,0,100,15.05,0.002227,0.06345,2.122E-314,0,0,0,1,0,1,-1,1,0,4,3,3,4,[ OK ]
269.9,17-Jul-26 13:06:27,388.7,166.6,0,1.003,0.04265,0.4179,1.125,0,0,0,100,15.05,0.002058,0.09517,2.122E-314,0,0,0,1,0,1,-1,1,0,4,3.105,3,4,[ OK ]
271.4,17-Jul-26 13:06:29,390.2,166.6,0,1.082,0.03947,0.4624,1.356,0,0,0,100,15.05,0.1605,404.4,2.122E-314,0,0,0,1,0,1,-1,1,0,1,3.211,3,4,[ OK ]
