Elapsed (s),Time,nGen-400 Uptime,nGen-400 Hours,Anode PWM_Duty_Cycle,Anode Voltage,Anode Current,Getter PWM_Duty_Cycle,Getter Current,Neutron Counts,Neutron Count_Rate,Neutron Count_Rate_Avg,Neutron Count_Rate_Stdev_Pct,RF Freq_Synth,Suppressor Current,Suppressor Voltage,Pulsing Rep_Rate,Pulsing Duty_Cycle,Pulsing Ext_Trig_Select,Calculations Current_Ratio,Faults Anode_Voltage_Too_High,Faults Arc_dI_dt,Faults Arc_I,Faults Blinkout,Faults E_Beam_Power_Too_High,Faults Interlock,Faults Suppressor_Voltage_Too_Low,State_Machine State,State_Machine Source,State_Machine Destination,State_Machine Fault
0.0,4/22/2026 1:25:34 PM,624.2,110.5,0,1.162,0.04166,0,0.01128,0,0,0,100,16.28,0.002095,0,1,1,0,0,1,0,1,-1,1,0,4,2.25,2,4,[ OK ]
1.2,4/22/2026 1:25:35 PM,625.4,110.5,0,0.5094,0.04166,0.2497,0.1973,0,0,0,100,16.28,0.00282,0,1,1,0,0,1,0,1,-1,1,0,4,3,2,4,[ OK ]
2.4,4/22/2026 1:25:36 PM,626.7,110.5,0,1.082,0.04215,0.3327,0.6772,0,0,0,100,16.28,0.0029,0,1,1,0,0,1,0,1,-1,1,0,4,3,3,4,[ OK ]
3.7,4/22/2026 1:25:38 PM,627.9,110.5,0,0.8596,0.04285,0.3863,0.9797,0,0,0,100,16.28,0.002739,0.1459,1,1,0,0,1,0,1,-1,1,0,4,3.105,3,4,[ OK ]
4.9,4/22/2026 1:25:39 PM,629.1,110.5,0,0.8914,0.04404,0.4226,1.168,0,0,0,100,16.28,0.204,404.5,1,1,0,0,1,0,1,-1,1,0,1,3.211,3,4,[ OK ]
6.2,4/22/2026 1:25:40 PM,630.3,110.5,0,1.13,0.04106,0.4449,1.294,0,0,0,100,16.28,0.2049,404.1,200,1,0,0,1,0,1,-1,1,0,1,3.368,3,4,[ OK ]
7.4,4/22/2026 1:25:41 PM,631.5,110.5,0,0.9232,0.04195,0.4598,1.369,0,0,0,100,16.28,0.2055,404.5,200,1,0,0,1,0,1,-1,1,0,1,3.526,3,4,[ OK ]
8.5,4/22/2026 1:25:42 PM,632.7,110.5,0.02548,9.551,0.04523,0.4688,1.427,0,0,0,100,16.28,0.2052,404.2,200,1,0,-1,1,0,1,-1,1,1,1,3.632,3,4,[ OK ]
9.8,4/22/2026 1:25:44 PM,634,110.5,0.03259,24.45,0.04483,0.4758,1.46,0,0,0,100,16.28,0.2063,404.2,200,1,0,-1,1,0,1,-1,1,1,1,3.789,3,4,[ OK ]
10.8,4/22/2026 1:25:45 PM,635.2,110.5,0.0378,32.89,0.04602,0.6159,2.195,0,0,0,100,16.28,0.2067,404,200,1,0,-1,1,0,1,-1,1,1,1,3.789,3,4,[ OK ]
11.4,4/22/2026 1:25:45 PM,636.2,110.5,0.04047,37.02,0.04662,0.6469,2.359,0,0,0,100,16.28,0.2063,404.4,200,1,0,-1,1,0,1,-1,1,1,1,3.789,3,4,[ OK ]
11.9,4/22/2026 1:25:46 PM,636.7,110.5,0.04131,40.75,0.04731,0.6616,2.424,0,0,0,100,16.28,0.2059,404.4,200,1,0,-1,1,0,1,-1,1,1,1,3.789,3,4,[ OK ]
12.4,4/22/2026 1:25:46 PM,637.2,110.5,0.04238,41.43,0.0482,0.6712,2.477,0,0,0,100,16.28,0.2068,404.3,200,1,0,-1,1,0,1,-1,1,1,1,3.789,3,4,[ OK ]
12.9,4/22/2026 1:25:47 PM,637.7,110.5,0.04335,42.61,0.04652,0.6829,2.515,0,0,0,100,16.28,0.2068,404.2,200,1,0,-1,1,0,1,-1,1,1,1,3.789,3,4,[ OK ]
13.3,4/22/2026 1:25:47 PM,638.1,110.5,0.04373,43.66,0.04662,0.6877,2.553,0,0,0,100,16.28,0.2074,404.1,200,1,0,-1,1,0,1,-1,1,1,1,3.789,3,4,[ OK ]
13.7,4/22/2026 1:25:48 PM,638.5,110.5,0.04435,44.24,0.04691,0.6949,2.578,0,0,0,100,16.28,0.2081,404.1,200,1,0,-1,1,0,1,-1,1,1,1,3.789,3,4,[ OK ]
14.0,4/22/2026 1:25:48 PM,638.9,110.5,0.0447,44.76,0.05009,0.7001,2.594,0,0,0,100,16.28,0.2063,404.5,200,1,0,-1,1,0,1,-1,1,1,1,3.789,3,4,[ OK ]
14.5,4/22/2026 1:25:48 PM,639.3,110.5,0.04505,45.64,0.04622,0.7057,2.618,0,0,0,100,16.28,0.2079,404.1,200,1,0,-1,1,0,1,-1,1,1,1,3.789,3,4,[ OK ]
15.0,4/22/2026 1:25:49 PM,639.9,110.5,0.04544,46.61,0.04662,0.7116,2.646,0,0,0,100,16.28,0.2078,404.1,200,1,0,-1,1,0,1,-1,1,1,1,3.789,3,4,[ OK ]
15.6,4/22/2026 1:25:49 PM,640.3,110.5,0.04597,46.34,0.04691,0.7173,2.651,0,0,0,100,16.28,0.2074,404.5,200,1,0,-1,1,0,1,-1,1,1,1,3.789,3,4,[ OK ]
16.0,4/22/2026 1:25:50 PM,640.9,110.5,0.04685,44.9,0.04761,0.7221,2.672,0,0,0,100,16.28,0.2078,404.1,200,1,0,-1,1,0,1,-1,1,1,1,3.789,3,4,[ OK ]
16.5,4/22/2026 1:25:50 PM,641.2,110.5,0.04623,47.83,0.04622,0.725,2.681,0,0,0,100,16.28,0.2065,404.4,200,1,0,-1,1,0,1,-1,1,1,1,3.789,3,4,[ OK ]
16.9,4/22/2026 1:25:51 PM,641.8,110.5,0.04654,47.55,0.04622,0.7293,2.696,0,0,0,100,16.28,0.2069,404.1,200,1,0,-1,1,0,1,-1,1,1,1,3.789,3,4,[ OK ]
17.4,4/22/2026 1:25:51 PM,642.1,110.5,0.04625,48.9,0.04572,0.7319,2.703,0,0,0,100,16.28,0.2081,404.1,200,1,0,-1,1,0,1,-1,1,1,1,3.789,3,4,[ OK ]
17.7,4/22/2026 1:25:52 PM,642.6,110.5,0.04641,48.9,0.04434,0.7353,2.709,0,0,0,100,16.28,0.2079,404.2,200,1,0,-1,1,0,1,-1,1,1,1,3.789,3,4,[ OK ]
18.1,4/22/2026 1:25:52 PM,642.9,110.5,0.0465,49.03,0.04701,0.7377,2.713,0,0,0,100,16.28,0.2095,404.1,200,1,0,-1,1,0,1,-1,1,1,1,3.789,3,4,[ OK ]
18.6,4/22/2026 1:25:52 PM,643.4,110.5,0.04671,48.9,0.04394,0.7403,2.721,0,0,0,100,16.28,0.2098,404.2,200,1,0,-1,1,0,1,-1,1,1,1,3.789,3,4,[ OK ]
19.1,4/22/2026 1:25:53 PM,643.9,110.5,0.04689,48.9,0.04414,0.7438,2.727,0,0,0,100,16.28,0.2075,404.4,200,1,0,-1,1,0,1,-1,1,1,1,3.789,3,4,[ OK ]
